program_name,url,calendar_type
Bachelor of Science in Sustainability and Innovation,https://catalog.drexel.edu/undergraduate/schoolofentrepreneurship/sustainabilityandinnovationbs/,Quarter
Bachelor of Science in Business Administration in Technology Innovation Management (co-major),https://catalog.drexel.edu/undergraduate/collegeofbusiness/technologyinnovationmanagement,Quarter
Bachelor of Science in User Experience and Interaction Design,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/userexperienceandinteractiondesign/,Quarter
Bachelor of Science in Westphal Studies Program,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/westphalstudiesprogram/,Quarter
Minor in Accounting,https://catalog.drexel.edu/undergraduate/collegeofbusiness/accountingminor/index.html,Quarter
Minor in Actuarial Science,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/actuarialscienceminor/,Quarter
Minor in Addictions Counseling,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/addictionscounseling/,Quarter
Minor in Africana Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/africanastudies/,Quarter
Minor in Animation and Visual Effects,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/animationandvisualeffectsminor/index.html,Quarter
Minor in Architectural Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/architecturalengineeringminor/index.html,Quarter
Minor in Architecture,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/architectureminor/index.html,Quarter
Minor in Art History,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/arthistoryminor/index.html,Quarter
Minor in Artificial Intelligence and Learning,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/artificialintellicenceandlearningminor/,Quarter
Minor in Asian Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/asianstudiesminor/index.html,Quarter
Minor in Astrophysics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/astrophysicsminor/index.html,Quarter
Minor in Behavioral Economics and Business,https://catalog.drexel.edu/undergraduate/collegeofbusiness/behavioraleconomicsandbusinessminor/index.html,Quarter
Minor in Biochemistry,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/biochemistryminor/,Quarter
Minor in Bioinformatics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/bioinformatics/,Quarter
Minor in Biological Sciences,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/biologicalsciencesminor/index.html,Quarter
Minor in Biophysics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/biophysicsminor/index.html,Quarter
Minor in Bioscience and Society,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/bioscienceandsociety/,Quarter
Minor in Business Administration,https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessadministrationminor/,Quarter
Minor in Business Analytics,https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessanalyticsminor/,Quarter
Minor in Business Consulting,https://catalog.drexel.edu/undergraduate/collegeofbusiness/businessconsultingminor/index.html,Quarter
Minor in Chemical Engineering,https://catalog.drexel.edu/undergraduate/collegeofengineering/chemicalengineeringminor/index.html,Quarter
Minor in Chemistry,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/chemistryminor/index.html,Quarter
Minor in Client Development and Customer Service,https://catalog.drexel.edu/undergraduate/collegeofprofessionalstudies/clientdevelopmentandcustomerserviceminor/,Quarter
Minor in Climate Change,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/climatechange,Quarter
